2026-09-17 12:01:10,496 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.8921280193425, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0529124914085291, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:11,498 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.11595613401084, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.055433187145333164, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:12,500 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.7501123133851, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.05795168781921348, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:13,501 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.88715450712243, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.060471010746256215, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:14,502 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.6213217487682, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.06298873867674883, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:15,503 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.34614507997355, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.06550481554722867, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:16,504 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.83879477677254, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.06802384831588931, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:17,506 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.7980379083754, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.07054263654333956, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:18,507 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.855945059784, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.07306177221369826, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:19,509 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.54614336186853, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.07557904907386948, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:20,510 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.3457790990387, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.07809512374846371, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:21,511 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.58597800561824, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.08061263961649742, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:22,512 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.1859861145994, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.08312775553318502, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:23,513 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 418.9282205218011, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.08564132485631583, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:24,514 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.0716026915678, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.08815575447246524, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:25,515 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.32340476773936, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.09067169490107167, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:26,516 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 418.9511504881209, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0931854018040004, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:27,517 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.41518937280887, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.09570189294023725, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:01:28,519 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.5505237816081, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0982191960829269, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
